Timestamp, X_Position, Y_Position, Z_Position, Q0_Rotation, Q1_Rotation, Q2_Rotation, Q3_Rotation, X_Velocity, Y_Velocity, Z_Velocity, X_Accel, Y_Accel, Z_Accel, Trigger, Grip
36862,0.03344981,1.10471,0.5425026,-0.4317538,-0.009799114,-0.02947841,0.9014564,-0.002069513,-0.00394722,-0.004091517,0,0,0,False,True
36891,0.03334316,1.104546,0.5423737,-0.4319713,-0.009907497,-0.0296383,0.9013458,-0.004203583,-0.004460835,-0.002921194,0,0,0,False,True
36920,0.03314836,1.10435,0.5423758,-0.4321198,-0.01037234,-0.03006637,0.9012552,-0.008153881,-0.005831848,7.162758E-05,0,0,0,False,True
36948,0.03294044,1.104077,0.5425442,-0.4319462,-0.01038096,-0.03057064,0.9013214,-0.009503882,-0.006765592,0.002343378,0,0,0,False,True
36978,0.03249297,1.103902,0.5427333,-0.4321302,-0.01153018,-0.03116501,0.9011988,-0.01721038,-0.003359803,0.003165109,0,0,0,False,True
37032,0.03181837,1.10366,0.543001,-0.4319115,-0.01275436,-0.03073882,0.9013018,-0.01590035,-0.008005471,0.004857397,0,0,0,False,True
37088,0.03129608,1.103053,0.5432719,-0.4314817,-0.0133877,-0.03141696,0.9014751,-0.008666965,-0.01098155,0.001664283,0,0,0,False,True
37115,0.0312271,1.102796,0.5435573,-0.4313107,-0.01328224,-0.03156009,0.9015535,-0.005219372,-0.01063336,0.0004643815,0,0,0,False,True
37137,0.03124736,1.102527,0.5441496,-0.4311894,-0.01349435,-0.03174134,0.901602,-0.005886856,-0.01085375,0.0004894057,0,0,0,False,True
37162,0.03114161,1.102214,0.5441962,-0.4309283,-0.01386706,-0.03197929,0.9017127,-0.004910709,-0.01194929,0.0003175089,0,0,0,False,True
37191,0.03109883,1.101992,0.544139,-0.43078,-0.01415831,-0.03188402,0.9017824,-0.001829766,-0.008035098,-0.003353778,0,0,0,False,True
37221,0.031142,1.101882,0.5439093,-0.4309154,-0.01434928,-0.03133975,0.9017338,0.002580807,-0.002824149,-0.008730181,0,0,0,False,True
37248,0.03150929,1.101792,0.5437182,-0.4310384,-0.01431202,-0.0319461,0.9016543,0.01286268,-0.003981855,-0.01142971,0,0,0,False,True
37278,0.03195324,1.101728,0.543404,-0.4310083,-0.01379616,-0.03115398,0.9017045,0.01381423,-0.002673516,-0.01145096,0,0,0,False,True
37306,0.0323065,1.101806,0.5430768,-0.4309956,-0.01376428,-0.0301851,0.901744,0.01290016,0.001232795,-0.01450838,0,0,0,False,True
37335,0.03270944,1.101778,0.5426632,-0.4315207,-0.01348991,-0.03037568,0.9014906,0.0145326,-0.0001146815,-0.01996936,0,0,0,False,True
37362,0.03287857,1.101665,0.5424129,-0.4316384,-0.01325891,-0.03041614,0.9014363,0.01235093,-0.007005871,-0.0132072,0,0,0,False,True
37390,0.03310137,1.101379,0.5421542,-0.4313997,-0.01309593,-0.03005673,0.901565,0.007662381,-0.01037527,-0.01025489,0,0,0,False,True
37420,0.03335807,1.10099,0.5420022,-0.4305222,-0.01373502,-0.02936145,0.9019977,0.00534872,-0.01263727,-0.004518935,0,0,0,False,True
37447,0.03370151,1.100603,0.5418769,-0.4299415,-0.01349858,-0.02896984,0.9022909,0.01442043,-0.01710469,-0.00656059,0,0,0,False,True
37475,0.0347207,1.099891,0.5413586,-0.4301983,-0.01244833,-0.03055263,0.9021314,0.03054741,-0.0180235,-0.01522759,0,0,0,False,True
37503,0.03516801,1.099718,0.5411599,-0.4299219,-0.01236523,-0.0303045,0.9022726,0.02902144,-0.01491024,-0.0141742,0,0,0,False,True
37531,0.03619233,1.099396,0.5409349,-0.4293443,-0.01223609,-0.03048007,0.9025435,0.03379354,-0.01127255,-0.01200048,0,0,0,False,True
37560,0.03751782,1.099375,0.5407337,-0.4290403,-0.01103998,-0.02944851,0.9027377,0.03969845,-0.001793996,-0.01449591,0,0,0,False,True
37587,0.03877139,1.099584,0.5408492,-0.4292517,-0.01108349,-0.03030722,0.9026083,0.04936608,0.004710587,-0.01569882,0,0,0,False,True
37615,0.04065268,1.099815,0.5407488,-0.4291483,-0.01022259,-0.03142219,0.9026294,0.05893838,0.00688781,-0.01758486,0,0,0,False,True
37643,0.04229638,1.100284,0.5404761,-0.4290826,-0.009269307,-0.03055022,0.9027009,0.06042763,0.01388769,-0.02316838,0,0,0,False,True
37671,0.04438676,1.101094,0.5393214,-0.4294419,-0.008018749,-0.02907099,0.9025909,0.06254023,0.02123207,-0.0308958,0,0,0,False,True
